A_Index;Aussenqualitaet;Aussenzustand;Baujahr;Besonderheiten;Garagen;Garagenbaujahr;Grundstueck_qm;Heizungszustand;Kamine;Kaminqualitaet;Keller;Kuechenzustand;Lage;Qualitaet;Renovierungsjahr;Steuerzuordnung;Verkaufsjahr;Wohnflaeche_qm;Zustand;Zz_Verkaufspreis
2059;Durchschnitt;Durchschnitt;1977.0;;2.0;2004.0;796;Sehr gut;0;;Mittlerer Wohnraum;Gut;Queensland Doors;5;2020.0;4;2020;912;8;193441
1231;Durchschnitt;Durchschnitt;1974.0;;1.0;1974.0;819;Gut;1;Gut;Guter Wohnraum;Durchschnitt;Queensland Doors;6;0.0;1;2020;1431;5;217128
1429;Durchschnitt;Durchschnitt;1965.0;;2.0;1967.0;726;Durchschnitt;0;;Freizeitraum;Durchschnitt;Lower East Side;5;2000.0;3;2016;864;7;129359
1955;Durchschnitt;Durchschnitt;1950.0;;1.0;1950.0;558;Durchschnitt;2;Gut;Niedrige Qualität;Durchschnitt;Upper East Side;5;1962.0;4;2021;1268;4;218971
2184;Durchschnitt;Durchschnitt;1992.0;;2.0;1992.0;149;Durchschnitt;1;Durchschnitt;Rohbau;Durchschnitt;Upper East Side;6;0.0;4;2021;1032;6;157385
2172;Gut;Durchschnitt;2004.0;;3.0;2004.0;1002;Sehr gut;1;Durchschnitt;Kein Wohnraum;Gut;Upper East Side;7;0.0;5;2019;2097;5;288492
1287;Gut;Durchschnitt;2014.0;;3.0;2014.0;1180;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Heroes Park;8;0.0;2;2016;1914;5;313837
2425;Durchschnitt;Durchschnitt;2008.0;;2.0;2008.0;1146;Gut;0;;Guter Wohnraum;Gut;Upper East Side;6;0.0;2;2019;1688;5;253063
389;Durchschnitt;Durchschnitt;1990.0;;2.0;1990.0;210;Durchschnitt;1;Durchschnitt;Mittlerer Wohnraum;Durchschnitt;Upper East Side;6;0.0;3;2022;1456;5;157019
2082;Gut;Durchschnitt;2016.0;;2.0;2016.0;396;Sehr gut;0;;Guter Wohnraum;Gut;Upper West Side;6;0.0;2;2023;848;5;212785
191;Durchschnitt;Durchschnitt;1952.0;;1.0;1978.0;619;Sehr gut;1;Gut;Mittlerer Wohnraum;Durchschnitt;Lower East Side;5;1967.0;2;2020;778;6;158569
1506;Durchschnitt;Durchschnitt;2007.0;;2.0;2007.0;1350;Gut;1;Durchschnitt;Freizeitraum;Durchschnitt;Upper East Side;6;0.0;5;2019;1636;5;218900
1466;Durchschnitt;Durchschnitt;1991.0;;2.0;1991.0;993;Gut;1;Durchschnitt;Mittlerer Wohnraum;Durchschnitt;Upper East Side;6;2011.0;3;2022;1707;5;209511
569;Durchschnitt;Durchschnitt;1950.0;;2.0;1950.0;616;Durchschnitt;1;Gut;Rohbau;Durchschnitt;Lower East Side;6;1970.0;1;2020;1969;6;185546
1037;Durchschnitt;Durchschnitt;1977.0;;2.0;1977.0;984;Durchschnitt;1;Gut;Kein Wohnraum;Gut;Upper East Side;6;1993.0;1;2015;2654;7;270400
2251;Gut;Durchschnitt;2017.0;;2.0;2017.0;459;Sehr gut;1;Gut;Guter Wohnraum;Gut;Heroes Park;6;0.0;5;2021;1306;5;252500
2431;Gut;Durchschnitt;2013.0;;2.0;2013.0;283;Sehr gut;1;Gut;Guter Wohnraum;Gut;Heroes Park;7;0.0;4;2017;1405;5;233971
40;Gut;Durchschnitt;2011.0;;2.0;2011.0;816;Sehr gut;0;;Rohbau;Gut;Upper East Side;8;0.0;1;2016;1491;5;235096
792;Sehr gut;Durchschnitt;2019.0;;2.0;2019.0;724;Sehr gut;1;Gut;Guter Wohnraum;Sehr gut;Upper West Side;9;0.0;3;2020;1710;5;439521
1459;Durchschnitt;Durchschnitt;1973.0;;2.0;1973.0;817;Durchschnitt;0;;Freizeitraum;Durchschnitt;Lower East Side;5;0.0;5;2016;1728;5;140608
1185;Gut;Durchschnitt;2014.0;;2.0;2014.0;1046;Sehr gut;0;;Guter Wohnraum;Gut;Upper West Side;7;0.0;1;2015;1734;5;281216
1312;Gut;Durchschnitt;1998.0;;2.0;1998.0;791;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper East Side;7;0.0;4;2017;1873;5;242160
1073;Durchschnitt;Durchschnitt;1981.0;;2.0;1999.0;844;Durchschnitt;0;;Mittlerer Wohnraum;Durchschnitt;Queensland Doors;5;2001.0;5;2018;1422;6;188581
2610;Durchschnitt;Durchschnitt;1989.0;;2.0;1989.0;1447;Sehr gut;1;Durchschnitt;Mittlerer Wohnraum;Gut;Heroes Park;5;0.0;5;2018;1432;7;236030
2112;Gut;Durchschnitt;1992.0;;2.0;1992.0;2118;Durchschnitt;1;Durchschnitt;Guter Wohnraum;Gut;Upper East Side;7;0.0;5;2023;1524;6;384863
1181;Durchschnitt;Durchschnitt;2006.0;;2.0;2006.0;1002;Gut;1;Durchschnitt;Guter Wohnraum;Durchschnitt;Upper East Side;6;0.0;2;2015;1511;5;200096
1693;Durchschnitt;Durchschnitt;1988.0;;2.0;1988.0;842;Durchschnitt;2;Schlecht;Mittlerer Wohnraum;Durchschnitt;Upper East Side;5;0.0;5;2022;1621;7;242532
200;Durchschnitt;Durchschnitt;2008.0;;2.0;2008.0;974;Sehr gut;1;Durchschnitt;Rohbau;Durchschnitt;Upper East Side;6;2009.0;3;2019;1604;5;229022
424;Gut;Durchschnitt;2015.0;;2.0;2015.0;807;Sehr gut;1;Gut;Rohbau;Gut;Upper East Side;6;0.0;2;2019;1515;5;226492
2629;Durchschnitt;Durchschnitt;1982.0;;1.0;1982.0;939;Durchschnitt;0;;Kein Wohnraum;Durchschnitt;Upper East Side;5;0.0;5;2023;1479;5;238319
654;Durchschnitt;Durchschnitt;2002.0;;2.0;2002.0;1063;Sehr gut;1;Sehr gut;Guter Wohnraum;Gut;Upper East Side;7;0.0;1;2020;2329;5;345142
687;Durchschnitt;Durchschnitt;1954.0;;1.0;1954.0;1078;Sehr gut;1;Gut;Freizeitraum;Schlecht;Upper East Side;7;1963.0;2;2022;1564;7;198693
1355;Gut;Durchschnitt;2018.0;;3.0;2018.0;1265;Sehr gut;1;Gut;Guter Wohnraum;Sehr gut;Heroes Park;8;2019.0;2;2023;1822;5;383383
119;Gut;Durchschnitt;2021.0;;2.0;2021.0;376;Sehr gut;1;Gut;Guter Wohnraum;Gut;Upper East Side;6;0.0;4;2022;1256;5;222036
1226;Gut;Durchschnitt;2006.0;;3.0;2006.0;891;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper West Side;7;0.0;5;2018;2520;5;352829
2233;Durchschnitt;Durchschnitt;1982.0;;1.0;1982.0;145;Gut;0;;Kein Wohnraum;Durchschnitt;Lower East Side;6;0.0;1;2016;1218;7;132733
76;Gut;Durchschnitt;2010.0;;2.0;2010.0;475;Sehr gut;0;;Guter Wohnraum;Sehr gut;Upper West Side;8;0.0;4;2017;1652;5;293634
623;Durchschnitt;Durchschnitt;1967.0;;2.0;1989.0;938;Durchschnitt;1;Durchschnitt;Rohbau;Schlecht;Queensland Doors;4;0.0;4;2021;1005;5;157385
58;Durchschnitt;Durchschnitt;1974.0;;2.0;1981.0;876;Gut;0;;Niedrige Qualität;Durchschnitt;Lower East Side;5;0.0;4;2021;980;5;150542
1258;Durchschnitt;Durchschnitt;1969.0;;1.0;1969.0;747;Durchschnitt;0;;;Durchschnitt;Queensland Doors;5;0.0;5;2017;882;7;124589
1560;Durchschnitt;Durchschnitt;1922.0;;3.0;1962.0;868;Sehr gut;0;;Rohbau;Gut;Lower East Side;6;2014.0;5;2021;1521;7;200495
2581;Gut;Durchschnitt;2020.0;;3.0;2021.0;1027;Sehr gut;1;Gut;Guter Wohnraum;Gut;Heroes Park;8;2021.0;4;2023;1704;5;452954
655;Durchschnitt;Durchschnitt;1988.0;Familienverkauf;2.0;1988.0;1087;Sehr gut;0;;Mittlerer Wohnraum;Durchschnitt;Lower East Side;5;0.0;4;2020;1033;5;217128
2583;Durchschnitt;Schlecht;1979.0;;1.0;1979.0;920;Sehr gut;0;;Mittlerer Wohnraum;Gut;Lower East Side;5;2017.0;5;2020;992;7;190810
1202;Gut;Durchschnitt;2014.0;;2.0;2014.0;809;Sehr gut;1;Gut;Rohbau;Gut;Upper East Side;8;0.0;1;2016;1414;5;200225
1737;Durchschnitt;Durchschnitt;1989.0;;2.0;1989.0;223;Schlecht;0;;Mittlerer Wohnraum;Durchschnitt;Upper East Side;7;0.0;4;2020;1055;6;195415
843;Gut;Durchschnitt;2017.0;;2.0;2017.0;285;Sehr gut;1;Gut;Guter Wohnraum;Gut;Upper East Side;7;2018.0;5;2020;1504;5;251342
820;Durchschnitt;Durchschnitt;1975.0;;2.0;1975.0;1284;Durchschnitt;0;;Freizeitraum;Durchschnitt;Lower East Side;4;0.0;1;2018;1005;3;140401
2509;Durchschnitt;Durchschnitt;1924.0;;2.0;1924.0;969;Schlecht;2;Durchschnitt;Freizeitraum;Durchschnitt;Lower East Side;7;1980.0;3;2016;1768;7;183352
1203;Gut;Durchschnitt;2013.0;;3.0;2013.0;1073;Sehr gut;1;Gut;Rohbau;Sehr gut;Heroes Park;8;2014.0;2;2017;2374;5;333409
1467;Gut;Durchschnitt;2012.0;;2.0;2012.0;387;Sehr gut;1;Durchschnitt;Guter Wohnraum;Sehr gut;Upper East Side;9;0.0;4;2019;1419;5;366942
2611;Durchschnitt;Durchschnitt;1980.0;;0.0;;133;Durchschnitt;0;;Rohbau;Durchschnitt;Lower East Side;4;0.0;1;2016;1092;5;89426
1485;Gut;Durchschnitt;1941.0;;1.0;1941.0;542;Sehr gut;0;;Mittlerer Wohnraum;Gut;Lower East Side;5;2018.0;2;2018;1001;9;151959
2518;Schlecht;Durchschnitt;1952.0;;0.0;;470;Gut;0;;Niedrige Qualität;Schlecht;Lower East Side;4;1962.0;5;2021;708;7;112906
160;Durchschnitt;Durchschnitt;1984.0;;1.0;1984.0;143;Durchschnitt;0;;Freizeitraum;Durchschnitt;Lower East Side;6;0.0;4;2021;987;6;132751
981;Gut;Durchschnitt;2009.0;;2.0;2009.0;268;Sehr gut;0;;Guter Wohnraum;Gut;Upper East Side;6;0.0;1;2015;1524;5;179545
2152;Gut;Durchschnitt;2009.0;;3.0;2009.0;982;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper West Side;8;2010.0;3;2018;2582;5;392370
942;Gut;Durchschnitt;2014.0;;2.0;2014.0;728;Sehr gut;1;Gut;Guter Wohnraum;Gut;Upper West Side;9;0.0;3;2015;1714;5;343948
2474;Gut;Durchschnitt;2016.0;;3.0;2016.0;889;Sehr gut;0;;Guter Wohnraum;Gut;Heroes Park;7;2017.0;1;2018;1614;5;298931
1724;Durchschnitt;Durchschnitt;2007.0;;2.0;2007.0;733;Sehr gut;1;Durchschnitt;Guter Wohnraum;Durchschnitt;Upper East Side;6;2008.0;3;2016;1525;5;206412
763;Gut;Durchschnitt;2006.0;;2.0;2006.0;892;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper East Side;7;2007.0;2;2023;1949;5;349337
188;Durchschnitt;Durchschnitt;1970.0;;2.0;1970.0;1310;Sehr gut;2;Gut;Kein Wohnraum;Gut;Queensland Doors;6;1997.0;3;2017;1429;6;212797
471;Gut;Durchschnitt;2006.0;;2.0;2006.0;1044;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper West Side;8;2007.0;5;2022;2232;5;300090
1988;Gut;Durchschnitt;2020.0;;2.0;2020.0;960;Sehr gut;0;;Guter Wohnraum;Gut;Upper West Side;8;0.0;4;2022;1768;5;241393
1578;Durchschnitt;Gut;1963.0;;2.0;1963.0;1402;Sehr gut;0;;Mittlerer Wohnraum;Durchschnitt;Upper East Side;5;2004.0;3;2023;2177;6;318252
2331;Durchschnitt;Durchschnitt;1984.0;;1.0;1984.0;137;Durchschnitt;1;Sehr schlecht;Guter Wohnraum;Durchschnitt;Lower East Side;4;0.0;1;2019;988;6;120078
2577;Durchschnitt;Durchschnitt;1987.0;;2.0;1987.0;1071;Durchschnitt;1;Gut;Rohbau;Durchschnitt;Upper East Side;7;0.0;4;2017;1969;6;222273
854;Gut;Durchschnitt;2012.0;;2.0;2012.0;1007;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper West Side;7;2013.0;2;2019;1786;5;282798
2077;Gut;Gut;2006.0;;2.0;2006.0;779;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper West Side;7;2007.0;4;2020;1908;5;276345
475;Durchschnitt;Durchschnitt;1951.0;;2.0;1976.0;626;Gut;0;;Mittlerer Wohnraum;Gut;Lower East Side;6;1961.0;3;2018;1215;7;171548
1662;Durchschnitt;Durchschnitt;1971.0;;1.0;1971.0;913;Durchschnitt;0;;Kein Wohnraum;Durchschnitt;Queensland Doors;5;0.0;5;2015;999;5;145475
1434;Gut;Durchschnitt;2009.0;;2.0;2009.0;950;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper West Side;7;0.0;2;2023;1720;5;385455
1103;Durchschnitt;Durchschnitt;1970.0;;1.0;1970.0;765;Sehr gut;1;Gut;Freizeitraum;Durchschnitt;Lower East Side;5;2015.0;5;2023;1526;6;213895
1007;Durchschnitt;Durchschnitt;2002.0;;3.0;2002.0;862;Sehr gut;1;Durchschnitt;Niedrige Qualität;Durchschnitt;Upper East Side;7;2003.0;3;2015;2000;5;203340
2009;Durchschnitt;Durchschnitt;1982.0;;2.0;1982.0;10361;Durchschnitt;2;Durchschnitt;Guter Wohnraum;Gut;Upper East Side;7;2013.0;5;2018;1824;5;367429
2388;Gut;Durchschnitt;2010.0;;2.0;2010.0;837;Sehr gut;1;Durchschnitt;Rohbau;Gut;Upper West Side;7;0.0;3;2023;2098;5;355258
739;Gut;Durchschnitt;2006.0;;2.0;2006.0;980;Sehr gut;2;Durchschnitt;Guter Wohnraum;Gut;Upper West Side;7;0.0;5;2020;2127;5;356617
1771;Durchschnitt;Durchschnitt;2015.0;;2.0;2016.0;1113;Sehr gut;0;;Guter Wohnraum;Gut;Upper East Side;5;2016.0;3;2021;1114;5;209391
1667;Gut;Durchschnitt;2020.0;;2.0;2021.0;451;Sehr gut;1;Gut;Guter Wohnraum;Gut;Heroes Park;7;2021.0;2;2022;1314;5;236269
1725;Durchschnitt;Durchschnitt;1980.0;;2.0;1982.0;971;Sehr gut;0;;Guter Wohnraum;Durchschnitt;Lower East Side;5;1981.0;4;2015;810;7;140608
173;Durchschnitt;Schlecht;1931.0;;1.0;1931.0;805;Gut;0;;Rohbau;Durchschnitt;Lower East Side;5;1961.0;5;2018;1077;2;81515
1764;Durchschnitt;Durchschnitt;1937.0;Familienverkauf;2.0;1976.0;763;Durchschnitt;0;;Rohbau;Durchschnitt;Lower East Side;5;1961.0;4;2018;1316;5;109498
113;Durchschnitt;Durchschnitt;1982.0;;1.0;1999.0;167;Durchschnitt;0;;Freizeitraum;Durchschnitt;Lower East Side;6;0.0;4;2020;987;6;139488
157;Durchschnitt;Durchschnitt;2010.0;;2.0;2010.0;896;Sehr gut;1;Durchschnitt;Rohbau;Durchschnitt;Upper East Side;7;0.0;3;2017;1430;5;198875
2603;Gut;Durchschnitt;2016.0;;2.0;2016.0;339;Sehr gut;1;Gut;Guter Wohnraum;Sehr gut;Upper East Side;7;2017.0;2;2020;1646;5;328982
1729;Gut;Durchschnitt;1993.0;;2.0;1993.0;861;Durchschnitt;1;Gut;Mittlerer Wohnraum;Gut;Upper East Side;8;0.0;4;2021;2524;5;380462
331;Gut;Durchschnitt;2016.0;;3.0;2016.0;1056;Sehr gut;0;;Guter Wohnraum;Gut;Upper West Side;7;2017.0;3;2018;1546;5;264013
53;Gut;Durchschnitt;2017.0;;2.0;2017.0;281;Sehr gut;0;;Guter Wohnraum;Gut;Upper East Side;7;0.0;2;2023;1200;5;229437
753;Durchschnitt;Durchschnitt;1978.0;;1.0;1978.0;810;Sehr gut;0;;Kein Wohnraum;Durchschnitt;Queensland Doors;5;0.0;1;2022;925;6;133791
442;Durchschnitt;Gut;1932.0;;1.0;1932.0;491;Durchschnitt;1;Gut;Mittlerer Wohnraum;Durchschnitt;Lower East Side;5;2009.0;2;2020;1216;7;151332
749;Durchschnitt;Durchschnitt;1974.0;;1.0;1974.0;894;Sehr gut;1;Durchschnitt;Kein Wohnraum;Durchschnitt;Lower East Side;5;1996.0;4;2022;1144;6;149618
1665;Durchschnitt;Durchschnitt;1972.0;;1.0;1972.0;854;Sehr gut;0;;Mittlerer Wohnraum;Durchschnitt;Queensland Doors;6;1995.0;2;2016;1207;5;165355
2289;Durchschnitt;Durchschnitt;1987.0;;2.0;1987.0;199;Durchschnitt;1;Schlecht;Mittlerer Wohnraum;Durchschnitt;Upper East Side;6;0.0;2;2022;1322;5;167380
254;Gut;Durchschnitt;2014.0;;2.0;2014.0;843;Sehr gut;1;Gut;Guter Wohnraum;Gut;Upper West Side;8;0.0;4;2020;2031;5;311875
1116;Durchschnitt;Durchschnitt;1968.0;;1.0;1975.0;769;Sehr gut;0;;Freizeitraum;Durchschnitt;Queensland Doors;4;0.0;1;2019;907;6;137929
1460;Gut;Gut;1937.0;;2.0;1990.0;645;Gut;0;;Rohbau;Sehr gut;Lower East Side;7;2019.0;1;2021;1548;7;280556
884;Gut;Durchschnitt;2013.0;;2.0;2013.0;953;Sehr gut;0;;Guter Wohnraum;Gut;Upper West Side;7;0.0;5;2017;1479;5;264388
348;Durchschnitt;Gut;1972.0;;1.0;1972.0;1545;Sehr gut;0;;Mittlerer Wohnraum;Durchschnitt;Queensland Doors;4;0.0;3;2018;914;7;155731
258;Durchschnitt;Gut;1984.0;;1.0;1984.0;618;Sehr gut;0;;Mittlerer Wohnraum;Durchschnitt;Upper East Side;5;2017.0;5;2023;874;7;192431
1349;Durchschnitt;Durchschnitt;1970.0;;1.0;1970.0;626;Durchschnitt;0;;Guter Wohnraum;Durchschnitt;Queensland Doors;5;0.0;3;2015;1150;4;157913
2096;Durchschnitt;Gut;1986.0;;2.0;1986.0;800;Durchschnitt;0;;;Durchschnitt;Lower East Side;6;0.0;3;2015;1654;6;129251
109;Durchschnitt;Durchschnitt;1977.0;Familienverkauf;2.0;1977.0;948;Durchschnitt;0;;Rohbau;Durchschnitt;Queensland Doors;6;0.0;3;2023;1775;5;201757
2221;Durchschnitt;Durchschnitt;1965.0;;2.0;2010.0;844;Sehr gut;0;;Niedrige Qualität;Durchschnitt;Lower East Side;4;0.0;2;2018;894;5;133831
951;Gut;Durchschnitt;1965.0;;2.0;1965.0;798;Gut;0;;Rohbau;Gut;Queensland Doors;5;2008.0;4;2020;910;7;152648
2311;Durchschnitt;Durchschnitt;1940.0;;1.0;1940.0;556;Sehr gut;1;Gut;Rohbau;Durchschnitt;Lower East Side;5;2002.0;2;2017;1426;7;154128
2078;Durchschnitt;Durchschnitt;1977.0;;2.0;1977.0;962;Gut;1;Schlecht;Mittlerer Wohnraum;Durchschnitt;Upper East Side;6;0.0;4;2018;1093;7;192839
33;Gut;Durchschnitt;2013.0;;2.0;2013.0;1053;Sehr gut;1;Gut;Guter Wohnraum;Gut;Upper East Side;7;2014.0;5;2017;2486;5;327443
202;Durchschnitt;Durchschnitt;1982.0;;2.0;1982.0;1162;Durchschnitt;1;Durchschnitt;Mittlerer Wohnraum;Durchschnitt;Upper East Side;6;0.0;5;2018;1220;5;206830
1070;Gut;Durchschnitt;2012.0;;2.0;2012.0;779;Sehr gut;0;;Rohbau;Gut;Upper West Side;7;0.0;3;2016;1909;5;221598
1546;Durchschnitt;Durchschnitt;2017.0;;2.0;2018.0;875;Gut;0;;Rohbau;Gut;Upper East Side;5;2018.0;4;2019;1394;5;211940
818;Durchschnitt;Durchschnitt;1940.0;;2.0;1962.0;804;Durchschnitt;0;;Rohbau;Durchschnitt;Upper East Side;6;1962.0;5;2021;784;3;104011
1930;Durchschnitt;Durchschnitt;1970.0;;1.0;1970.0;816;Durchschnitt;1;Gut;Rohbau;Durchschnitt;Queensland Doors;5;0.0;5;2017;1144;5;140383
2260;Durchschnitt;Gut;1963.0;;1.0;1963.0;859;Sehr gut;0;;Kein Wohnraum;Durchschnitt;Queensland Doors;6;2018.0;1;2022;1668;8;159410
444;Durchschnitt;Durchschnitt;1970.0;;0.0;;765;Durchschnitt;0;;Rohbau;Durchschnitt;Queensland Doors;5;0.0;2;2016;1556;5;133858
359;Durchschnitt;Durchschnitt;2018.0;;2.0;2018.0;322;Gut;0;;Guter Wohnraum;Durchschnitt;Lower East Side;6;2019.0;4;2022;1072;5;165672
1372;Durchschnitt;Durchschnitt;1972.0;;2.0;1969.0;899;Sehr gut;2;Gut;Freizeitraum;Durchschnitt;Queensland Doors;6;0.0;1;2023;1580;5;236098
1295;Durchschnitt;Durchschnitt;1993.0;;2.0;1993.0;749;Durchschnitt;1;Durchschnitt;Rohbau;Durchschnitt;Upper East Side;6;1994.0;3;2023;1564;6;253121
758;Durchschnitt;Durchschnitt;1939.0;;1.0;1939.0;348;Durchschnitt;0;;Freizeitraum;Durchschnitt;Lower East Side;6;2017.0;5;2022;1224;8;130944
170;Durchschnitt;Durchschnitt;1924.0;;1.0;1924.0;1178;Gut;0;;Rohbau;Durchschnitt;Upper East Side;5;1960.0;1;2016;1784;5;156228
965;Sehr gut;Durchschnitt;2020.0;;3.0;2020.0;1034;Sehr gut;1;Gut;Rohbau;Sehr gut;Heroes Park;9;0.0;3;2021;1736;5;492684
1052;Durchschnitt;Durchschnitt;1988.0;;2.0;1988.0;859;Durchschnitt;1;Schlecht;Mittlerer Wohnraum;Durchschnitt;Lower East Side;6;0.0;1;2019;1117;6;186001
373;Durchschnitt;Durchschnitt;2007.0;;2.0;2007.0;1763;Sehr gut;0;;Guter Wohnraum;Gut;Upper East Side;7;2020.0;1;2023;1652;6;300689
2081;Durchschnitt;Durchschnitt;1938.0;;1.0;1973.0;534;Sehr gut;1;Schlecht;Rohbau;Durchschnitt;Lower East Side;5;2010.0;3;2022;1348;8;133221
232;Durchschnitt;Durchschnitt;1973.0;;1.0;1973.0;905;Durchschnitt;2;Durchschnitt;Freizeitraum;Durchschnitt;Queensland Doors;7;2009.0;5;2017;1651;5;201215
1886;Gut;Durchschnitt;2015.0;;3.0;2015.0;1172;Sehr gut;1;Sehr gut;Rohbau;Sehr gut;Heroes Park;8;0.0;4;2018;2956;5;416095
2340;Gut;Durchschnitt;2015.0;;2.0;2015.0;301;Sehr gut;0;;Guter Wohnraum;Gut;Upper East Side;7;2016.0;3;2019;1245;5;225226
2300;Durchschnitt;Gut;1976.0;;2.0;1976.0;944;Durchschnitt;2;Gut;Niedrige Qualität;Durchschnitt;Queensland Doors;5;0.0;3;2021;1292;5;198579
1196;Durchschnitt;Durchschnitt;1965.0;;1.0;1965.0;1092;Durchschnitt;1;Durchschnitt;Freizeitraum;Durchschnitt;Queensland Doors;5;1985.0;2;2017;1411;6;152081
1243;Durchschnitt;Durchschnitt;1972.0;;1.0;1972.0;629;Gut;0;;;Durchschnitt;Queensland Doors;5;0.0;2;2018;925;6;120448
2615;Durchschnitt;Gut;1963.0;;1.0;1963.0;521;Sehr gut;0;;Freizeitraum;Durchschnitt;Lower East Side;5;2010.0;1;2023;1612;6;190211
2137;Durchschnitt;Gut;2009.0;;2.0;2013.0;1114;Gut;0;;Guter Wohnraum;Gut;Upper West Side;5;0.0;3;2022;1040;5;173074
2381;Gut;Durchschnitt;2016.0;;2.0;2016.0;853;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper West Side;7;0.0;5;2023;1829;6;350817
1269;Durchschnitt;Durchschnitt;1975.0;;2.0;1987.0;821;Gut;0;;Guter Wohnraum;Gut;Queensland Doors;5;2008.0;4;2016;1200;8;164230
2213;Gut;Durchschnitt;1974.0;;1.0;1974.0;839;Durchschnitt;0;;Freizeitraum;Durchschnitt;Lower East Side;6;2013.0;3;2020;1269;8;176992
1310;Sehr gut;Gut;1954.0;;1.0;1954.0;805;Sehr gut;2;Gut;Guter Wohnraum;Gut;Upper East Side;7;2019.0;5;2023;2340;9;394485
861;Durchschnitt;Durchschnitt;1984.0;Familienverkauf;1.0;1984.0;143;Durchschnitt;0;;Rohbau;Durchschnitt;Lower East Side;6;0.0;3;2023;1092;5;130261
453;Durchschnitt;Durchschnitt;1968.0;;2.0;1968.0;1269;Durchschnitt;1;Durchschnitt;Guter Wohnraum;Durchschnitt;Lower East Side;6;0.0;5;2020;1188;8;243447
1972;Durchschnitt;Durchschnitt;1977.0;;2.0;1977.0;1266;Durchschnitt;1;Gut;Guter Wohnraum;Durchschnitt;Queensland Doors;5;0.0;3;2023;1152;7;267184
2240;Gut;Durchschnitt;1970.0;;1.0;1970.0;896;Sehr gut;0;;Mittlerer Wohnraum;Gut;Queensland Doors;5;2017.0;3;2019;1053;7;184103
1479;Durchschnitt;Durchschnitt;1977.0;;2.0;1977.0;790;Sehr gut;1;Durchschnitt;Kein Wohnraum;Durchschnitt;Queensland Doors;7;0.0;3;2018;1200;6;198922
2547;Gut;Durchschnitt;2013.0;;2.0;2013.0;396;Sehr gut;1;Gut;Guter Wohnraum;Gut;Upper West Side;6;0.0;1;2015;848;5;168621
1608;Durchschnitt;Durchschnitt;1979.0;;1.0;1979.0;1022;Gut;1;Gut;Guter Wohnraum;Gut;Queensland Doors;6;2021.0;3;2023;1128;8;263483
700;Gut;Durchschnitt;2016.0;;2.0;2016.0;390;Sehr gut;1;Durchschnitt;Guter Wohnraum;Gut;Upper West Side;6;0.0;2;2020;848;5;185546
1080;Sehr gut;Durchschnitt;2019.0;;3.0;2019.0;1337;Sehr gut;2;Gut;Guter Wohnraum;Sehr gut;Upper East Side;9;2020.0;2;2022;1746;5;429840
1920;Durchschnitt;Durchschnitt;1940.0;;2.0;1958.0;832;Durchschnitt;0;;Rohbau;Durchschnitt;Lower East Side;4;1963.0;1;2023;756;4;125820
849;Gut;Durchschnitt;2016.0;;2.0;2016.0;842;Sehr gut;1;Gut;Rohbau;Gut;Upper East Side;7;2017.0;4;2022;2094;5;299464
1696;Gut;Gut;1992.0;;3.0;1992.0;1407;Gut;2;Gut;Mittlerer Wohnraum;Gut;Heroes Park;8;0.0;2;2021;2014;8;376356
1627;Durchschnitt;Durchschnitt;2012.0;;2.0;2012.0;916;Sehr gut;1;Durchschnitt;Rohbau;Durchschnitt;Upper East Side;6;0.0;5;2020;1792;5;245421
2016;Gut;Gut;2006.0;;2.0;2006.0;1004;Sehr gut;0;;Mittlerer Wohnraum;Gut;Upper West Side;6;0.0;4;2018;1200;5;215955
563;Gut;Durchschnitt;2000.0;;3.0;2000.0;1206;Gut;1;Durchschnitt;Mittlerer Wohnraum;Gut;Upper East Side;7;2001.0;1;2017;2243;5;263218
925;Durchschnitt;Durchschnitt;1929.0;;3.0;1929.0;2011;Durchschnitt;1;Gut;Kein Wohnraum;Durchschnitt;Upper East Side;6;1961.0;2;2018;2624;6;290780
2111;Durchschnitt;Durchschnitt;1973.0;;2.0;1984.0;1004;Gut;1;Sehr schlecht;Freizeitraum;Durchschnitt;Lower East Side;4;1989.0;1;2016;1382;5;166479
2528;Gut;Durchschnitt;2019.0;;2.0;2019.0;278;Sehr gut;1;Gut;Rohbau;Gut;Upper East Side;7;0.0;1;2020;1266;5;210410
2421;Durchschnitt;Durchschnitt;1930.0;;1.0;1930.0;278;Gut;1;Gut;Rohbau;Durchschnitt;Lower East Side;5;2000.0;2;2017;967;6;116868
887;Durchschnitt;Durchschnitt;2000.0;;2.0;2000.0;997;Sehr gut;0;;Niedrige Qualität;Durchschnitt;Upper East Side;7;2001.0;1;2016;2514;5;281216
